Title,Year,Type,Journal Name,Article URL,Researcher Name,Profile URL,Job Title,Field
Interactive spreadsheeting: a learning strategy and exercises for calculative management accounting principles,2022,Journals,Issues in Accounting Education,http://espace.library.uq.edu.au/view/UQ:3a0af8e,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
The solar panels business case: a management accounting instructional resource,2022,Journals,Issues in Accounting Education,http://espace.library.uq.edu.au/view/UQ:cb5327a,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
The frozen supply chain business case: a management accounting instructional resource,2021,Journals,Issues in Accounting Education,http://espace.library.uq.edu.au/view/UQ:abf6d53,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
Interactive proﬁt-planning systems and market turbulence: a dynamic capabilities perspective,2019,Journals,Long Range Planning,http://espace.library.uq.edu.au/view/UQ:729150,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
Organizational improvisation and the reduced usefulness of performance measurement BI functionalities,2018,Journals,International Journal of Accounting Information Systems,http://espace.library.uq.edu.au/view/UQ:729148,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
Business intelligence systems use in performance measurement capabilities: Implications for enhanced competitive advantage.,2016,Journals,International Journal of Accounting Information Systems,http://espace.library.uq.edu.au/view/UQ:729147,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
"Management accounting resources, for profitability measurement reporting, and competitive performance: The moderating roles of market dynamism",2023,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:394c1d0,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
Effective BI-enabled profit planning ‘systems’ and market dynamism,2023,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:0fdbd7d,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
Declarative interactive dynamic tensions in radical innovation project-planning,2020,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:5c5ced4,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
The unspoken pleasures of power?,2020,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:86d5a51,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
In defence of the familiar: innovating in business schools through slow histories,2020,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:f24c001,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
In defence of the familiar: innovating in business schools through slow histories,2019,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:611def9,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
Ending the production line? How learning university history can influence different thinking about business school academic careers.,2019,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:405bde9,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
Business intelligence systems in support of performance measurement system capability: implications for enhanced competitive advantage,2016,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:389a32a,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
The unspoken pleasures of power?,2016,Conference Papers,,http://espace.library.uq.edu.au/view/UQ:729152,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
How Management Accounting Teams can Effectively Support Superior Performance Measurement Practices. CIMA Report,2016,Research Report,,http://espace.library.uq.edu.au/view/UQ:729151,Matthew Peters,https://business.uq.edu.au/profile/1040/matthew-peters,Lecturer,Accounting,B
The state of climate change-related risk disclosures and the way forward,2022,Book Chapter,,http://espace.library.uq.edu.au/view/UQ:83e6d88,Mark Wallis,https://business.uq.edu.au/profile/1418/mark-wallis,Senior Lecturer,Accounting,C
